"Libellé";"Dépenses de consommation des ménages - Total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes"
"idBank";"010565712";""
"Période";"";""
"2019-T4";"301622";"A"
"2019-T3";"300886";"A"
"2019-T2";"299627";"A"
"2019-T1";"298809";"A"
"2018-T4";"297774";"A"
"2018-T3";"296820";"A"
"2018-T2";"295568";"A"
"2018-T1";"296288";"A"
"2017-T4";"295473";"A"
"2017-T3";"295151";"A"
"2017-T2";"293384";"A"
"2017-T1";"292412";"A"
"2016-T4";"291641";"A"
"2016-T3";"289071";"A"
"2016-T2";"289127";"A"
"2016-T1";"288450";"A"
"2015-T4";"285488";"A"
"2015-T3";"285619";"A"
"2015-T2";"284618";"A"
"2015-T1";"283832";"A"
"2014-T4";"282645";"A"
"2014-T3";"281856";"A"
"2014-T2";"280372";"A"
"2014-T1";"278826";"A"
"2013-T4";"280502";"A"
"2013-T3";"278415";"A"
"2013-T2";"278482";"A"
"2013-T1";"277647";"A"
"2012-T4";"277402";"A"
"2012-T3";"276943";"A"
"2012-T2";"276888";"A"
"2012-T1";"277302";"A"
"2011-T4";"276771";"A"
"2011-T3";"277847";"A"
"2011-T2";"277751";"A"
"2011-T1";"281190";"A"
"2010-T4";"279485";"A"
"2010-T3";"277371";"A"
"2010-T2";"275675";"A"
"2010-T1";"275003";"A"
"2009-T4";"274437";"A"
"2009-T3";"272066";"A"
"2009-T2";"272006";"A"
"2009-T1";"270271";"A"
"2008-T4";"270853";"A"
"2008-T3";"271750";"A"
"2008-T2";"271877";"A"
"2008-T1";"271528";"A"
"2007-T4";"272850";"A"
"2007-T3";"271834";"A"
"2007-T2";"269405";"A"
"2007-T1";"266799";"A"
"2006-T4";"265459";"A"
"2006-T3";"263267";"A"
"2006-T2";"263573";"A"
"2006-T1";"262075";"A"
"2005-T4";"259911";"A"
"2005-T3";"258054";"A"
"2005-T2";"256676";"A"
"2005-T1";"255741";"A"
"2004-T4";"254316";"A"
"2004-T3";"250899";"A"
"2004-T2";"250603";"A"
"2004-T1";"249312";"A"
"2003-T4";"247791";"A"
"2003-T3";"247595";"A"
"2003-T2";"245144";"A"
"2003-T1";"245374";"A"
"2002-T4";"244741";"A"
"2002-T3";"243228";"A"
"2002-T2";"241619";"A"
"2002-T1";"240511";"A"
"2001-T4";"239404";"A"
"2001-T3";"239109";"A"
"2001-T2";"237947";"A"
"2001-T1";"236536";"A"
"2000-T4";"234159";"A"
"2000-T3";"233564";"A"
"2000-T2";"232168";"A"
"2000-T1";"230138";"A"
"1999-T4";"228572";"A"
"1999-T3";"226184";"A"
"1999-T2";"221957";"A"
"1999-T1";"220006";"A"
"1998-T4";"219763";"A"
"1998-T3";"218097";"A"
"1998-T2";"215939";"A"
"1998-T1";"213085";"A"
"1997-T4";"211040";"A"
"1997-T3";"208929";"A"
"1997-T2";"207342";"A"
"1997-T1";"206435";"A"
"1996-T4";"206650";"A"
"1996-T3";"209043";"A"
"1996-T2";"206457";"A"
"1996-T1";"207018";"A"
"1995-T4";"203712";"A"
"1995-T3";"203438";"A"
"1995-T2";"205510";"A"
"1995-T1";"202048";"A"
"1994-T4";"201394";"A"
"1994-T3";"200850";"A"
"1994-T2";"200128";"A"
"1994-T1";"198308";"A"
"1993-T4";"198183";"A"
"1993-T3";"197544";"A"
"1993-T2";"197215";"A"
"1993-T1";"195883";"A"
"1992-T4";"198563";"A"
"1992-T3";"197518";"A"
"1992-T2";"196328";"A"
