Titre :;Industries agricoles et alimentaires, situation actuelle des stocks de produits finis (Brut);Industries agricoles et alimentaires, taux moyen d'utilisation des capacités de production (Brut);Industrie automobile, situation actuelle de l'état du carnet de commandes (Brut);Equipements électriques et électroniques, autres machines, taux moyen d'utilisation des capacités de production (CVS);Fabrication de matériels de transport, situation actuelle de l'état du carnet de commandes (CVS);Textiles, habillement, cuir, chaussure,  situation actuelle de l'état du carnet de commandes (CVS)
Code série :;CONJ.M.N01.N.IN.000C1.PVTSM000.10;CONJ.M.N01.N.IN.000C1.TUTSM000.10;CONJ.M.N01.N.IN.00CL1.CCTSM000.10;CONJ.M.N01.S.IN.000C3.TUTSM000.10;CONJ.M.N01.S.IN.000C4.CCTSM000.10;CONJ.M.N01.S.IN.000CB.CCTSM000.10
Unité :;Solde d`opinion (SO);Pourcent (PC);Solde d`opinion (SO);Pourcent (PC);Solde d`opinion (SO);Solde d`opinion (SO)
Méthode d'observation :;Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A)
Source :;Banque de France (FR2);Banque de France (FR2);Banque de France (FR2);Banque de France (FR2);Banque de France (FR2);Banque de France (FR2)
Déc 2019;-6,9;76,05;-17,85;78,52;24,26;6,35
Nov 2019;4,97;79,25;-13,95;78,55;26,56;8,1
Oct 2019;10,01;80,74;-0,36;78,95;31,63;13,92
Sep 2019;2,67;79,72;0,1;78,96;33,58;9,03
Aoû 2019;1,77;74,79;-24,85;80,47;18,21;-3,91
Jul 2019;0,55;79,46;-13,09;80,1;24,27;-1,91
Jun 2019;-0,22;80,05;-9,33;78,91;23,43;-2,19
Mai 2019;1,9;80,07;0,56;80,31;27,84;4,88
Avr 2019;-1,9;80,19;3,96;80,22;31,33;4,23
Mar 2019;8,1;79,76;8,58;80,21;37,64;3,48
Fév 2019;5;78,59;13,04;80,12;41,17;4,2
Jan 2019;5,79;78,94;20,37;79,78;42,33;-1,35
Déc 2018;2,26;77,28;10,91;79,8;41,73;4,76
Nov 2018;14,52;80,01;7,77;80,18;37,26;4,65
Oct 2018;7,45;82,17;11,44;81,06;39,84;5,64
Sep 2018;5,51;81,72;24,95;80,58;44,24;8,11
Aoû 2018;4,99;77,39;29,45;81,52;46,78;13,2
Jul 2018;3,32;80,73;22,08;80,93;46,1;13,47
Jun 2018;5,99;82,46;19,99;80,73;38,82;14,41
Mai 2018;6,84;80,35;34,2;79,58;47,09;9,88
Avr 2018;1,03;79,47;28,66;81,22;44,4;11,96
Mar 2018;1,06;80,61;22,01;81,24;39,29;7,68
Fév 2018;-4,29;78,99;21,53;81,96;40,17;10,1
Jan 2018;1,68;80,11;27,58;82,51;42,81;10,51
Déc 2017;-5,8;78,24;18,3;83,12;41,53;9,34
Nov 2017;-1,34;81,7;19,28;82,62;42,25;18,56
Oct 2017;3,09;81,75;27,7;81,78;43,47;-1,39
Sep 2017;-4,57;81,89;30,23;81,47;39,28;4,6
Aoû 2017;-3,09;77,61;29,25;80,34;42,38;5,36
Jul 2017;-5,04;81,45;34,9;81,42;44,92;10,75
Jun 2017;-6,39;81,78;37,04;81,45;43,71;2,99
Mai 2017;-4,8;81;40,03;81,22;43,76;4,42
Avr 2017;-3,96;79,74;27,43;79,21;35,2;-1,49
Mar 2017;-2,98;80,6;29,44;80,34;41,67;4,88
Fév 2017;-6,1;78,54;23,93;79,81;38,91;2,58
Jan 2017;2,26;78,5;24,44;79,52;36,29;1,06
Déc 2016;-4,66;77,44;25,21;80,01;42,12;9,26
Nov 2016;1,88;80,74;24,55;78,95;42,02;-3,49
Oct 2016;8,84;80,22;27,48;77,95;39,52;-3,73
Sep 2016;6,02;80,31;26,19;78,5;39,63;-14,06
Aoû 2016;1,36;75,99;17,38;77,96;30,41;-4,57
Jul 2016;8,78;79,04;12,79;77,28;25,76;-4,78
Jun 2016;7,29;80,94;20,36;77,52;27,43;0,24
Mai 2016;2,75;79,74;23,15;78,47;24,04;-3,68
Avr 2016;7,57;79,01;19,27;77,6;26,07;-5,84
Mar 2016;9,92;79,79;16,01;77,66;24,61;-0,08
Fév 2016;6,87;77,68;14,42;77,82;26,82;-2,56
Jan 2016;5,52;78,06;10,16;77,44;25,31;2,54
Déc 2015;0,85;77,37;2,6;76,9;27,34;-1,75
Nov 2015;9,05;79,56;2,59;77,26;29,39;0,72
Oct 2015;10,23;80,23;6,11;77,32;31,99;4,29
Sep 2015;11,36;80,19;9;77,34;32,37;4,98
Aoû 2015;4,78;75,37;10,18;74,59;34,98;3,23
Jul 2015;8,96;80,35;17,02;76,71;35,93;-2,73
