Période;Produits agricoles;Energie, eau, déchets;Produits agro-alimentaires;Cokéfaction et raffinage; Biens d'équipement;Matériels de transport;Autres produits industriels;Construction;Commerce;Transport;Hébergement-restauration;Information-communication;Services financiers;Services immobiliers;Services aux entreprises;Services non marchands;Services aux ménages;TOTAL 
1990T1;4,7;4,8;22,1;6,5;4,3;10,9;23,3;1,8;1,8;3,5;8,5;5,5;10,7;19,5;2,5;5,6;4,5;139,6
1990T2;4,8;5,1;22,3;6,2;4,4;10,5;23,4;1,8;1,8;3,6;8,7;5,6;10,8;19,9;2,5;5,6;4,6;140,7
1990T3;4,9;5,2;22,4;6,5;4,5;10,5;23,7;1,8;1,9;3,6;8,7;5,6;10,7;20,1;2,6;5,7;4,7;142,3
1990T4;4,9;5,5;22,5;6,8;4,6;10,1;24,5;1,9;1,9;3,6;8,9;5,8;10,6;20,5;2,6;5,7;4,8;144,2
1991T1;5,1;5,6;22,8;6,8;4,6;10,0;24,4;1,9;1,9;3,5;9,0;5,8;10,2;20,9;2,6;5,8;4,8;144,7
1991T2;5,1;5,8;22,7;6,5;4,6;10,0;24,6;1,9;1,9;3,6;9,2;5,9;10,1;21,4;2,6;5,9;5,0;145,7
1991T3;5,2;5,8;23,2;6,6;4,6;10,1;24,2;1,9;2,0;3,7;9,3;6,0;10,1;21,7;2,7;6,0;5,0;146,7
1991T4;5,1;6,1;23,4;6,8;4,6;9,9;24,9;2,0;1,9;3,8;9,4;6,1;10,2;22,2;2,7;6,1;5,0;148,6
1992T1;4,9;6,1;23,4;6,7;4,6;10,3;24,5;2,0;1,9;3,8;9,5;6,1;10,5;22,6;2,8;6,2;5,2;149,5
1992T2;4,8;6,0;23,7;6,5;4,5;10,1;24,9;2,0;2,0;3,9;9,5;6,2;10,7;23,1;2,9;6,3;5,1;150,5
1992T3;4,7;6,1;23,9;6,5;4,5;10,4;24,8;2,1;2,0;3,9;9,6;6,2;10,8;23,5;2,9;6,4;5,3;152,1
1992T4;4,7;6,2;24,0;6,5;4,5;10,8;25,0;2,1;1,9;3,9;9,6;6,3;10,7;23,9;2,9;6,5;5,3;153,4
1993T1;4,7;6,2;24,1;6,6;4,5;9,3;24,8;2,1;2,0;3,9;9,6;6,3;10,5;24,2;2,9;6,6;5,2;152,1
1993T2;4,7;6,1;24,5;6,6;4,5;9,5;25,1;2,2;2,0;3,9;9,7;6,4;10,3;24,6;2,9;6,7;5,5;153,5
1993T3;4,7;6,3;24,5;6,6;4,6;9,8;24,9;2,2;2,0;3,9;9,6;6,4;10,1;24,8;3,0;6,8;5,5;154,1
1993T4;4,8;6,6;24,7;6,8;4,4;9,7;24,9;2,2;2,0;3,9;9,7;6,5;10,0;25,1;3,0;6,9;5,4;155,0
1994T1;4,9;6,1;24,6;6,7;4,5;10,0;25,0;2,2;2,0;4,0;9,6;6,6;10,0;25,4;3,0;6,9;5,5;155,4
1994T2;5,0;6,6;24,9;6,7;4,6;10,8;24,5;2,2;2,0;4,0;9,6;6,7;9,8;25,8;3,1;7,0;5,5;157,2
1994T3;5,0;6,5;25,1;6,8;4,7;10,6;24,8;2,2;2,1;4,0;9,7;6,8;9,7;26,0;3,1;7,0;5,5;158,2
1994T4;5,0;6,2;25,1;6,6;4,7;10,8;24,7;2,3;2,2;4,1;10,1;6,8;9,5;26,4;3,2;7,1;5,4;158,8
1995T1;5,1;6,5;25,6;6,8;4,8;10,4;24,8;2,3;2,2;4,1;10,0;6,9;9,3;26,6;3,2;7,2;5,4;159,6
1995T2;5,0;6,7;25,6;6,9;4,9;11,9;24,9;2,3;2,2;4,1;10,1;6,9;9,2;27,0;3,2;7,2;5,5;162,4
1995T3;5,0;6,8;25,8;6,8;4,9;9,9;25,1;2,3;2,2;4,2;10,1;7,0;9,3;27,2;3,2;7,3;5,8;161,7
1995T4;5,0;6,7;25,9;7,0;4,9;10,2;25,0;2,4;2,2;4,0;10,1;7,0;9,4;27,5;3,2;7,4;6,0;162,6
1996T1;5,0;7,2;26,2;7,3;4,9;11,4;25,1;2,4;2,2;4,3;10,0;7,1;9,7;27,7;3,3;7,5;6,0;166,3
1996T2;5,0;7,1;26,1;7,3;4,9;11,2;25,3;2,4;2,1;4,4;9,9;7,0;9,8;27,9;3,2;7,6;6,2;166,5
1996T3;5,0;7,2;26,1;7,3;4,9;12,7;25,3;2,4;2,1;4,4;9,9;7,0;9,9;28,2;3,3;7,7;6,1;168,3
1996T4;5,0;7,2;26,4;7,6;5,0;10,2;25,3;2,5;2,1;4,4;10,0;7,1;9,9;28,4;3,3;7,8;6,3;167,0
1997T1;5,0;7,1;26,5;7,6;5,1;9,8;25,6;2,5;2,1;4,5;10,2;7,1;9,8;28,7;3,3;7,9;6,3;167,5
1997T2;5,0;7,0;26,6;7,5;5,1;9,8;25,6;2,5;2,1;4,5;10,4;7,3;9,7;28,9;3,4;7,9;6,3;167,9
1997T3;5,1;7,1;27,0;7,7;5,2;10,3;25,6;2,5;2,1;4,7;10,3;7,4;9,8;29,2;3,5;8,0;6,2;169,8
1997T4;5,2;7,1;27,3;7,5;5,3;10,5;26,3;2,5;2,1;4,7;10,6;7,4;9,8;29,5;3,5;8,1;6,2;171,9
1998T1;5,2;7,2;27,2;7,5;5,3;10,8;26,4;2,5;2,1;4,8;10,8;7,6;9,9;29,9;3,6;8,2;6,5;173,7
1998T2;5,3;7,4;27,7;7,6;5,5;11,0;26,6;2,6;2,2;4,8;11,1;7,8;9,8;30,2;3,6;8,3;6,7;176,1
1998T3;5,3;7,4;27,8;7,3;5,7;11,8;26,8;2,6;2,2;4,9;11,2;7,9;9,6;30,5;3,7;8,3;6,5;177,4
1998T4;5,3;7,6;28,0;7,3;5,8;11,7;26,8;2,6;2,3;5,0;11,3;7,9;9,2;30,7;3,7;8,3;6,7;178,0
1999T1;5,3;7,3;28,0;7,3;5,8;11,7;27,1;2,6;2,2;5,2;11,3;8,1;8,8;30,9;3,7;8,4;6,7;177,9
1999T2;5,3;7,2;28,2;7,5;6,0;11,7;27,2;2,6;2,3;5,2;11,6;8,4;8,5;31,2;3,7;8,4;6,9;179,4
1999T3;5,3;7,3;28,5;7,8;6,1;13,1;27,3;2,7;2,4;5,2;11,9;8,4;8,7;31,5;3,8;8,5;6,9;182,7
1999T4;5,4;7,4;28,9;8,4;6,4;12,6;27,8;2,5;2,4;5,3;12,2;8,6;9,2;31,9;3,8;8,6;7,1;185,6
2000T1;5,4;7,3;29,2;8,9;6,5;12,4;28,3;2,6;2,4;5,5;12,4;8,9;10,1;31,9;3,9;8,8;7,2;188,7
2000T2;5,5;7,3;29,6;8,9;6,7;12,7;28,6;2,6;2,4;5,5;12,6;9,0;10,8;32,3;3,9;8,9;7,2;191,3
2000T3;5,6;7,4;30,0;9,1;6,7;12,8;28,7;2,6;2,4;5,5;12,8;9,2;11,4;32,7;4,0;9,0;7,3;194,0
2000T4;5,7;7,4;30,1;9,4;6,7;12,4;29,1;2,6;2,5;5,6;13,0;9,4;11,9;33,0;4,0;9,1;7,4;195,9
2001T1;5,8;7,6;30,8;8,8;6,7;13,2;29,2;2,7;2,5;5,7;13,1;9,7;12,2;33,0;4,1;9,1;7,4;198,2
2001T2;5,9;8,1;31,1;9,2;6,7;13,4;29,2;2,7;2,5;5,8;13,2;9,9;12,3;33,4;4,1;9,2;7,5;201,0
2001T3;5,9;8,2;31,5;9,0;6,6;13,5;29,6;2,8;2,6;5,7;13,2;10,1;12,2;33,7;4,1;9,2;7,6;202,4
2001T4;6,0;8,1;31,6;8,5;6,7;13,4;29,5;2,8;2,6;5,6;13,4;10,3;12,0;34,2;4,1;9,4;7,7;202,5
2002T1;6,1;7,8;32,3;8,2;6,7;13,6;29,9;2,9;2,6;5,9;13,6;10,8;11,6;34,6;4,1;9,5;7,8;204,5
2002T2;6,1;8,0;32,0;8,5;6,7;13,8;30,1;2,9;2,7;6,0;13,7;10,9;11,3;35,0;4,2;9,6;8,0;205,6
2002T3;6,2;8,0;32,4;8,5;6,7;13,5;30,7;2,9;2,7;6,1;13,9;11,0;11,1;35,4;4,2;9,7;8,2;207,5
2002T4;6,3;8,0;32,9;8,7;7,0;13,5;30,8;2,9;2,7;6,1;14,0;11,2;10,9;35,8;4,2;9,6;8,2;209,4
2003T1;6,3;8,5;32,9;9,3;6,9;13,5;31,1;2,9;2,7;6,1;14,2;11,2;10,9;36,3;4,3;9,5;8,3;211,7
2003T2;6,3;8,3;33,1;8,7;6,9;13,3;31,3;2,9;2,7;6,0;14,3;11,3;11,0;36,7;4,3;9,5;8,3;211,5
2003T3;6,4;8,6;33,7;8,6;7,1;13,8;31,4;2,9;2,7;6,3;14,5;11,4;11,1;37,1;4,3;9,5;8,5;214,8
2003T4;6,3;9,0;33,4;8,5;7,2;13,6;31,9;3,0;2,7;6,4;14,5;11,4;11,4;37,6;4,4;9,7;8,6;216,2
2004T1;6,3;8,9;33,8;8,8;7,3;13,8;31,9;3,0;2,8;6,4;14,7;11,8;11,8;38,1;4,4;10,0;8,7;218,8
2004T2;6,4;8,9;34,1;9,2;7,6;13,9;32,3;3,1;2,8;6,7;14,8;11,8;12,0;38,4;4,4;10,2;8,8;221,4
2004T3;6,3;8,9;34,1;9,3;7,5;13,9;32,2;3,1;2,8;6,6;14,8;11,8;12,2;39,2;4,4;10,3;8,9;222,4
2004T4;6,4;9,0;34,3;9,9;7,8;14,8;32,6;3,1;2,9;6,7;15,0;11,9;12,3;39,9;4,5;10,5;8,9;226,5
2005T1;6,4;9,2;34,5;9,7;7,8;14,4;32,8;3,1;2,9;6,9;15,2;12,1;12,4;40,5;4,6;10,8;9,0;228,6
2005T2;6,4;9,1;34,4;10,1;7,9;14,7;32,8;3,2;2,9;6,9;15,4;12,3;12,5;41,1;4,6;10,9;9,0;230,4
2005T3;6,5;9,2;34,6;11,0;7,7;14,9;32,9;3,2;3,0;7,0;15,5;12,3;12,7;41,6;4,7;11,0;9,1;233,3
2005T4;6,6;9,4;34,8;10,7;8,2;15,1;33,2;3,3;3,0;7,2;15,7;12,4;13,0;42,2;4,8;11,1;9,2;235,6
2006T1;6,7;10,0;35,2;10,8;8,1;14,9;33,7;3,4;3,0;7,3;16,0;12,3;13,6;42,8;4,8;11,3;9,3;239,1
2006T2;6,7;9,9;35,3;11,3;8,5;15,5;33,9;3,5;3,1;7,4;16,1;12,3;14,0;43,4;4,9;11,5;9,4;242,0
2006T3;6,8;9,9;35,5;11,2;8,5;14,8;34,2;3,5;3,1;7,4;16,3;12,4;14,5;44,0;4,8;11,6;9,5;243,2
2006T4;6,9;9,5;35,6;10,2;8,7;15,3;34,6;3,6;3,1;7,5;16,6;12,5;15,0;44,5;5,0;11,8;9,7;245,3
