"Libellé";"Dépenses de consommation des ménages - Produits agricoles - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Produits agro-alimentaires - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Cokéfaction et raffinage - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Biens d'équipement - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Matériels de transport - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Autres produits industriels - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Énergie, eau, déchets - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Construction - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Commerce - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Transport - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Hébergement-restauration - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Information-communication - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Services financiers - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Services immobiliers - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Services aux entreprises - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Services non marchands (A17-OQ) - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Services aux ménages - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Biens - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Biens manufacturés - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Biens industriels - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Services marchands - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Services non marchands - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Services - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Dépenses de consommation des ménages - Solde touristique - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes"
"idBank";"010565279";"";"010565281";"";"010565283";"";"010565285";"";"010565287";"";"010565289";"";"010565291";"";"010565293";"";"010565295";"";"010565297";"";"010565299";"";"010565301";"";"010565303";"";"010565305";"";"010565307";"";"010565309";"";"010565311";"";"010565313";"";"010565315";"";"010565317";"";"010565319";"";"010565321";"";"010565323";"";"010565325";""
"Période";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2019-T4";"7680";"A";"43136";"A";"11763";"A";"9941";"A";"18592";"A";"39412";"A";"12791";"A";"4635";"A";"3643";"A";"10191";"A";"22439";"A";"11040";"A";"15768";"A";"60049";"A";"6727";"A";"15499";"A";"11862";"A";"143114";"A";"122761";"A";"135509";"A";"141752";"A";"15499";"A";"161881";"A";"-3436";"A"
"2019-T3";"7463";"A";"43177";"A";"11838";"A";"9719";"A";"18193";"A";"39252";"A";"13018";"A";"4662";"A";"3637";"A";"10396";"A";"22271";"A";"10959";"A";"15729";"A";"59831";"A";"6677";"A";"15497";"A";"11883";"A";"142486";"A";"122128";"A";"135123";"A";"141419";"A";"15497";"A";"161574";"A";"-3237";"A"
"2019-T2";"7772";"A";"43184";"A";"11720";"A";"9649";"A";"17393";"A";"39099";"A";"13149";"A";"4649";"A";"3603";"A";"10285";"A";"22290";"A";"10911";"A";"15690";"A";"59607";"A";"6615";"A";"15424";"A";"11769";"A";"141846";"A";"120984";"A";"134126";"A";"140811";"A";"15424";"A";"160881";"A";"-3164";"A"
"2019-T1";"7624";"A";"43395";"A";"11773";"A";"9600";"A";"17758";"A";"38996";"A";"12863";"A";"4639";"A";"3629";"A";"10219";"A";"22150";"A";"10837";"A";"15636";"A";"59416";"A";"6516";"A";"15387";"A";"11744";"A";"141869";"A";"121485";"A";"134318";"A";"140188";"A";"15387";"A";"160211";"A";"-3333";"A"
"2018-T4";"7684";"A";"43849";"A";"11691";"A";"9406";"A";"17668";"A";"38758";"A";"12887";"A";"4626";"A";"3596";"A";"10181";"A";"21835";"A";"10803";"A";"15567";"A";"59182";"A";"6553";"A";"15347";"A";"11680";"A";"141863";"A";"121380";"A";"134242";"A";"139422";"A";"15347";"A";"159392";"A";"-3552";"A"
"2018-T3";"7766";"A";"43894";"A";"11637";"A";"9311";"A";"18008";"A";"38798";"A";"12936";"A";"4614";"A";"3590";"A";"10080";"A";"21643";"A";"10721";"A";"15526";"A";"58936";"A";"6406";"A";"15258";"A";"11608";"A";"142301";"A";"121678";"A";"134590";"A";"138539";"A";"15258";"A";"158409";"A";"-3946";"A"
"2018-T2";"7846";"A";"43612";"A";"11818";"A";"9214";"A";"18191";"A";"38887";"A";"12706";"A";"4584";"A";"3654";"A";"9746";"A";"21574";"A";"10736";"A";"15531";"A";"58654";"A";"6447";"A";"15265";"A";"11534";"A";"142221";"A";"121751";"A";"134421";"A";"137904";"A";"15265";"A";"157752";"A";"-4456";"A"
"2018-T1";"8030";"A";"44444";"A";"11805";"A";"9107";"A";"17584";"A";"38787";"A";"13676";"A";"4544";"A";"3573";"A";"10085";"A";"21380";"A";"10824";"A";"15567";"A";"58405";"A";"6342";"A";"15220";"A";"11546";"A";"143453";"A";"121767";"A";"135456";"A";"137749";"A";"15220";"A";"157511";"A";"-4710";"A"
