Date,"Petit commerce, indice en valeur (Brut)","Alimentation générale, Petit commerce traditionnel, indice en valeur (Brut)","Equipements électriques et électroniques, autres machines, évolution des livraisons par rapport au mois précédent (Brut)","Matériels audio et vidéo, indice en volume (Brut)","Supermarchés, indice en valeur (Brut)","Hypermarchés, indice en valeur (Brut)"
Jan 1991,99.59,104.73,6.99,14.49,67.44,66.27
Fév 1991,81.87,102.01,11.39,11.48,58.01,61.04
Mar 1991,94.35,111.65,15.78,12.86,69.68,76.59
Avr 1991,95.46,108.26,2.6,10.82,62.18,70.6
Mai 1991,106.42,124.43,-12.77,12.17,62.96,75.21
Jun 1991,103.06,119.1,22.37,11.95,65.81,70.78
Jul 1991,97.91,116.19,9.93,11.3,66.56,73.38
Aoû 1991,89.03,118.05,-2.53,9.5,66.96,73.31
Sep 1991,94.29,106.22,-14.97,11.65,63.43,72.37
Oct 1991,108.76,129.98,14.68,14.49,67.4,76.95
Nov 1991,99.13,111.83,-24.85,16.76,64.82,77.95
Déc 1991,139.93,165.24,13.58,31.13,74.22,106.11
Jan 1992,99.74,102.06,-14.97,15.1,66.92,68.8
Fév 1992,86.26,108.24,9.19,12.64,64.17,67.35
Mar 1992,84.78,105.42,16.88,11.64,66.46,74.59
Avr 1992,98.25,114.9,-1.79,10.87,66.18,75.72
Mai 1992,105.6,125.88,-11.67,11.6,63.88,77.45
Jun 1992,98.08,118.8,27.86,11.84,66.37,71.39
Jul 1992,97.45,118.21,12.85,11.11,67.5,73.96
Aoû 1992,84.86,111.25,-2.15,9.29,64.6,73.02
Sep 1992,98.35,103.18,-17.16,12.16,65.91,76.23
Oct 1992,107.88,125.61,-11.67,15.7,69.98,81.12
Nov 1992,90.63,104.02,-5.09,15.28,61.98,73.88
Déc 1992,142.04,160.56,-3.99,32.35,77.09,111.07
Jan 1993,99.43,98.64,-20.46,15.32,68.82,69.6
Fév 1993,79.61,98.96,8.09,11.28,60.45,64.25
Mar 1993,85.44,103.15,6.99,12.5,69.54,79.48
Avr 1993,97.05,111.89,-22.65,11.08,68.34,78.47
Mai 1993,95.94,115.14,-6.18,10.82,62.34,73.13
Jun 1993,100.68,118.72,11.39,11.38,69.22,77.48
Jul 1993,96.94,113.38,7.36,11.39,69.72,77.45
Aoû 1993,83.13,104.93,3.34,9.25,65.67,73.86
